rating,date,review,platform,sentiment,clean,Clean_text_length,text_length_category
2,2024-12-30,"I was using it for long time but have to stop using it because
                recently I got a used item and when I talked to support team
                they keep asking me for clearer image of product although the
                image was perfectly fine They is no further option for help I
                cant tolerate this kind of cheating and also the prices are
                also on higher side compare to others",blinkit,Negative,using long time have stop using because recently used item when talked support team they keep asking clearer image product although image perfectly fine they further option help cant tolerate this kind cheating also prices also higher side compare others,254,200-300
1,2024-11-04,"Loving the fast deliveries and mostly they are great There is
                no other quick delivery agent in my area so I cant compare I
                would have given  star but  star is because of the frustration
                for whenever there is an issue you would end up getting
                frustrated with the customer care Not really caring for their
                customers But anyway Im stuck with them since Im have no
                option to switch to someone else",blinkit,Negative,loving fast deliveries mostly they great there other quick delivery agent area cant compare would have given star star because frustration whenever there issue would getting frustrated with customer care really caring their customers anyway stuck with them since have option switch someone else,294,200-300
1,2024-10-31,"The customer support is very disappointing I recently bought
                some electronic products that arrived faulty Ive been trying
                to reach customer support but my chat sessions keep getting
                disconnected with the message we are currently experiencing a
                high volume of queries Initially I thought it was a onetime
                issue but after  attempts I received the same response I
                then checked on my other less expensive orders and found that
                customer care was readily available BE CAREFUL WITH THIS AP",blinkit,Negative,customer support very disappointing recently bought some electronic products that arrived faulty been trying reach customer support chat sessions keep getting disconnected with message currently experiencing high volume queries initially thought onetime issue after attempts received same response then checked other less expensive orders found that customer care readily available careful with this,399,Above 300
5,2024-08-29,"Ive been using Blinkit for a while now and it has become my
                goto app for grocery shopping The app is welldesigned easy
                to navigate and offers a wide range of products The best part
                Super quick delivery often within minutes However one area
                where Blinkit could take a leaf out of Swiggys book is the
                delivery charges While I appreciate the speed the added
                delivery fee cn sometimes make small purchase option or a
                membership model like instamart would definitely elevate the
                experience",blinkit,Positive,been using blinkit while become goto grocery shopping welldesigned easy navigate offers wide range products best part super quick delivery often within minutes however area where blinkit could take leaf swiggys book delivery charges while appreciate speed added delivery sometimes make small purchase option membership model like instamart would definitely elevate experience,375,Above 300
2,2024-12-31,"Blinkit was my go to app and it was rare that it disappointed
                mebut today it has disappointed me on a large scale I order
                items worth the order was paid and after  mins they
                cancelled my order with items are out of stock which was not
                earlierthe refund would be after  days and there is no room
                for complaint because they have closed the conversation 
                ThankyoublinkitI would no further order from you again Highly
                disappointed Regards Nivriti",blinkit,Negative,blinkit rare that disappointed mebut today disappointed large scale order items worth order paid after mins they cancelled order with items stock which earlierthe refund would after days there room complaint because they have closed conversation thankyoublinkiti would further order from again highly disappointed regards nivriti,329,Above 300
5,2024-12-31,"After my first order about six months before with Blinkit now i
                have become a regular customer with them The reason  very good
                quality products good packing well behaved delivery persons
                punctual delivery and absolutely safe and quick transactions
                Definately I would give  rating  recommend others to go with
                them Thanks and good wishes",blinkit,Positive,after first order about months before with blinkit have become regular customer with them reason very good quality products good packing well behaved delivery persons punctual delivery absolutely safe quick transactions definately would give rating recommend others with them thanks good wishes,294,200-300
1,2024-12-28,"I had a terrible experience with Blinkit I ordered a few items
                on Christmas and received one item less I immediately raised
                the issue with Blinkit support and they assured me it would be
                resolved within  hours However even after three days
                theres been no resolution To make matters worse they closed
                the ticket without resolving the issue and now I cant raise
                the concern again as the hour window has passed Extremely
                disappointing serviceI would not recommend it to anyone",blinkit,Negative,terrible experience with blinkit ordered items christmas received item less immediately raised issue with blinkit support they assured would resolved within hours however even after three days theres been resolution make matters worse they closed ticket without resolving issue cant raise concern again hour window passed extremely disappointing servicei would recommend anyone,377,Above 300
1,2024-12-29,"They have over priced items The electronic items are always
                damaged They charge a handling fees but the products delivered
                are not at all upto mark they deliver Rotten and stale
                vegetables and fruits I would never recommended buying
                groceries from this application No support Executive is
                available for to report the issue",blinkit,Negative,they have over priced items electronic items always damaged they charge handling fees products delivered upto mark they deliver rotten stale vegetables fruits would never recommended buying groceries from this application support executive available report issue,262,200-300
1,2024-12-28,"had cancell order but they just give you promo code instead of
                refund On top of that they force you to use the entire amount
                in one go we might not have laws in India to deltnot sure
                such scenarios  they seem to be exploiting the loopholes
                Taking customers for granted will definitely hit your business
                better to mend your ways before its too late",blinkit,Negative,cancell order they just give promo code instead refund that they force entire amount might have laws india deltnot sure such scenarios they seem exploiting loopholes taking customers granted will definitely your business better mend your ways before late,254,200-300
1,2024-12-31,"Sometimes they deliver stale products like eggs and breads
                Sometimes they show you the free item added in your cart post
                doing payment they reflect free item not available If they
                dont have such offers then why they are showing it on there app
                screen or it is just a way to be fool your customer",blinkit,Negative,sometimes they deliver stale products like eggs breads sometimes they show free item added your cart post doing payment they reflect free item available they dont have such offers then they showing there screen just fool your customer,234,200-300
5,2024-12-30," stars Blinkit is my goto app for lastminute grocery needs
                and more Their prices are reasonable and their delivery
                service is incredibly fast  truly living up to its name Its
                been a huge convenience to be able to order what I need at the
                last minute Highly recommend",blinkit,Positive,stars blinkit goto lastminute grocery needs more their prices reasonable their delivery service incredibly fast truly living name been huge convenience able order what need last minute highly recommend,201,200-300
1,2024-12-30,"Pathetic service as usual nothing has changed since they
                upgraded their service in areas their customer support agents
                sound so robotic and unnecessary delays on order from the
                warehouse just nearby kms away unnecessary charges and
                taxes where does platform fee goes when their developers
                doesnt use common sense about scanning areas updating proper
                ETA for order delivery and most importantly accuracy using
                Google Maps for route Zomato Blinkit service is worst than
                their customer service",blinkit,Negative,pathetic service usual nothing changed since they upgraded their service areas their customer support agents sound robotic unnecessary delays order from warehouse just nearby away unnecessary charges taxes where does platform goes when their developers doesnt common sense about scanning areas updating proper order delivery most importantly accuracy using google maps route zomato blinkit service worst than their customer service,431,Above 300
3,2024-12-31,"The app keeps crashing I have tried it on different devices I
                have been using the app for more than an year but suddenly it
                has started crashing The same thing is happening in all devices
                at my house I think they have some software issue",blinkit,Neutral,keeps crashing have tried different devices have been using more than year suddenly started crashing same thing happening devices house think they have some software issue,171,100-200
1,2024-12-29,"I am fine with it being overpriced but problem is there is no
                way to return any product This is really pathetic Bigbasket
                has instant returns But here to return a bad product you will
                have to go through hassle of chat with a bot and then with human
                and they will ultimately reject returns no matter how bad the
                product is I will never order again very bad experience",blinkit,Negative,fine with being overpriced problem there return product this really pathetic bigbasket instant returns here return product will have through hassle chat with then with human they will ultimately reject returns matter product will never order again very experience,263,200-300
5,2024-12-30,"Great app everything is perfect Blinkit doesnt deliver any bad
                stuff all fresh and original products at an affordable rates
                Great step towards society many old or handicapped people cant
                go to market for household products now they will all be greatly
                benefitted Keep up the Great work never con your customers by
                sending stale or expired products we trust you dont ever break
                it",blinkit,Positive,great everything perfect blinkit doesnt deliver stuff fresh original products affordable rates great step towards society many handicapped people cant market household products they will greatly benefitted keep great work never your customers sending stale expired products trust dont ever break,295,200-300
1,2024-12-29,"No proper details on the application I have placed so many
                orders but still they could not help with one of my order Poor
                service Wanted to return a item which is useless for me because
                I didnt have an idea about it and ordered But they dont
                bother to talk also  Awful service Deleting application Will
                not place order from now onwards",blinkit,Negative,proper details application have placed many orders still they could help with order poor service wanted return item which useless because didnt have idea about ordered they dont bother talk also awful service deleting application will place order from onwards,259,200-300
1,2024-12-31,"Had been using the app for sometime but the the experience is
                becoming worse The platform fees have increased while the order
                takes half to  hr for delivery This happened not once but
                multiple times",blinkit,Negative,been using sometime experience becoming worse platform fees have increased while order takes half delivery this happened once multiple times,140,100-200
4,2024-12-31,"It was fantastic upto a certain time but then the cash on
                delivery option was not working it was a issue for me because as
                a student I dont use online payment apps so cash on delivery
                was my only option and then I tried to contact with the helpline
                tbh it was useless",blinkit,Positive,fantastic upto certain time then cash delivery option working issue because student dont online payment apps cash delivery only option then tried contact with helpline useless,175,100-200
1,2024-12-28,"Very pathetic and frustrating experience with blinkit They
                delivered rotten items with fungus which they refused to return
                and give a refund Very horrible customer service Wasted my
                entire morning in trying to return the items Customer Care is
                unable to resolve even such a small petty issue Their app
                doesnt have return option",blinkit,Negative,very pathetic frustrating experience with blinkit they delivered rotten items with fungus which they refused return give refund very horrible customer service wasted entire morning trying return items customer care unable resolve even such small petty issue their doesnt have return option,289,200-300
4,2024-12-31,"I havent used this app but i have heard about it I installed
                it but the problem is that its not available in my area and
                thats disappointing I request blinkit to start it everywhere
                so everyone can use it as its a very good appOtherwise i
                totally thik that this app should get full ratingand
                do i have to share my location Where",blinkit,Positive,havent used this have heard about installed problem that available area thats disappointing request blinkit start everywhere everyone very good appotherwise totally thik that this should full ratingand have share location where,227,200-300
1,2024-12-17,"They have given coupon of Rs  on first order But it was not
                applied on billing The payment from my wallet went so fast
                without showing billing details I immediately tried to cancel
                it within few seconds but they refused cancellation saying your
                items are packed It is rubbish They are just making fool of
                public",blinkit,Negative,they have given coupon first order applied billing payment from wallet went fast without showing billing details immediately tried cancel within seconds they refused cancellation saying your items packed rubbish they just making fool public,240,200-300
1,2024-12-17,"How can you not let me cancel an order within  minute This is
                not customer friendly at all I use Blinkit almost every day
                Today when I wanted to cancel an erroneous order Neither the
                App allows me Not there is any customer care whom I can call to
                and amend it For the very first time I am really unhappy with
                your services Hope you will provide a window for orders placed
                in error Atleast  minute like your competitors",blinkit,Negative,cancel order within minute this customer friendly blinkit almost every today when wanted cancel erroneous order neither allows there customer care whom call amend very first time really unhappy with your services hope will provide window orders placed error atleast minute like your competitors,294,200-300
1,2024-12-17,"The worst customer service I received a product with items
                missing The first guy I talked to did nothing the second said
                hell refund the item but its been  days and I still havent
                gotten my refund I had to email them to follow up  How can I
                trust this app to reliably send me the items I paid for if they
                wont even check the items being sent or assist properly in
                making the situation correct",blinkit,Negative,worst customer service received product with items missing first talked nothing second said hell refund item been days still havent gotten refund email them follow trust this reliably send items paid they wont even check items being sent assist properly making situation correct,278,200-300
1,2024-12-25,"Blinkit needs see this if you are illegible of getting gift it
                should by default add it to your cart It has happened several
                times of missing the gift Accepted that if a person has
                forgotten to add the gift they should provide it again Rather
                than saying by their executive to have to purchase again
                Sometimes we are in a hurry that we miss stuff I guess the
                company knows it I am sure it happens with others also the
                company is taking advantage This maybe lead to a soft scam",blinkit,Negative,blinkit needs this illegible getting gift should default your cart happened several times missing gift accepted that person forgotten gift they should provide again rather than saying their executive have purchase again sometimes hurry that miss stuff guess company knows sure happens with others also company taking advantage this maybe lead soft scam,352,Above 300
1,2024-12-27,"Delete this app ASAP if u dont want to waste your money
                Accidentally I clicked on check out and the order got placed and
                with in fraction of seconds I tried to cancel it the app said
                ur order is packed how on earth they can pack it in mili
                seconds And then it promptly said cannot cancel the order
                Tried to contact the coustomer care and couldnt get through I
                guess they purposefully put such bugs in the app so that any
                accidental orders are converted into business Good job on cheap
                trick",blinkit,Negative,delete this asap dont want waste your money accidentally clicked check order placed with fraction seconds tried cancel said order packed earth they pack mili seconds then promptly said cannot cancel order tried contact coustomer care couldnt through guess they purposefully such bugs that accidental orders converted into business good cheap trick,347,Above 300
1,2024-12-21,"Subject Complaint Regarding Missing Items in Order Dear Blinkit
                Team I recently placed an order for groceries and vegetables
                through your platform Unfortunately some items were marked as
                out of stock and were not delivered Upon receiving the order I
                noticed that certain items were missing which was not initially
                communicated I had to raise a complaint to address the issue
                and eventually received a refund However I believe this could
                have been avoided with better communicationthanks",blinkit,Negative,subject complaint regarding missing items order dear blinkit team recently placed order groceries vegetables through your platform unfortunately some items were marked stock were delivered upon receiving order noticed that certain items were missing which initially communicated raise complaint address issue eventually received refund however believe this could have been avoided with better communicationthanks,412,Above 300
1,2024-12-27,"I dint find this App useful Most of the stuffs are overpriced
                on top of that you pay handling charge delivery charge and high
                demand surcharge After all these they will take  minutes to
                deliver Then why advertise Grocery in  minutes  If you are
                taking a surcharge then deliver in  mins else dont charge
                extra I feel this App is useful only on those days when I am
                too lazy and lethargic to not step out for  mins Good bye
                Blinkit",blinkit,Negative,dint find this useful most stuffs overpriced that handling charge delivery charge high demand surcharge after these they will take minutes deliver then advertise grocery minutes taking surcharge then deliver mins else dont charge extra feel this useful only those days when lazy lethargic step mins good blinkit,311,Above 300
